3*, State-gov, *****, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K,
5*, Local-gov, 2*****, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K,
4*, Federal-gov, 1*****, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K,
3*, Private, 3*****, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K,
3*, Private, *****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3103, 0, 40, United-States, >50K,
6*, Self-emp-inc, 1*****, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 50, United-States, >50K,
5*, Self-emp-inc, 1*****, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K,
2*, ?, 1*****, Assoc-acdm, 12, Married-AF-spouse, ?, Wife, White, Female, 0, 0, 3, United-States, <=50K,
3*, Private, 3*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K,
3*, Private, 1*****, Some-college, 10, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 35, United-States, <=50K,
2*, Private, 2*****, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 3*****, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 70, United-States, >50K,
5*, Private, 1*****, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 38, United-States, <=50K,
3*, Private, 2*****, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, >50K,
4*, Private, *****, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K,
3*, Private, 3*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K,
5*, State-gov, 1*****, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 38, United-States, <=50K,
3*, Private, *****, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 35, United-States, <=50K,
2*, Private, 1*****, Some-college, 10, Never-married, Sales, Other-relative, White, Female, 0, 0, 40, United-States, <=50K,
6*, Self-emp-not-inc, 2*****, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 1409, 0, 40, United-States, <=50K,
3*, Private, 1*****, Bachelors, 13, Separated, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K,
2*, Private, 2*****, HS-grad, 9, Never-married, Farming-fishing, Own-child, Black, Male, 0, 0, 30, United-States, <=50K,
5*, Private, 1*****, Some-college, 10, Never-married, Adm-clerical, Other-relative, Black, Female, 0, 0, 40, Jamaica, <=50K,
2*, Private, 2*****, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 2635, 0, 38, United-States, <=50K,
2*, Private, 2*****, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 70, United-States, <=50K,
2*, Private, *****, Some-college, 10, Married-spouse-absent, Other-service, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K,
3*, Private, 3*****, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 1408, 40, United-States, <=50K,
2*, Private, 1*****, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K,
3*, Private, 2*****, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
2*, Local-gov, 1*****, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
3*, Private, 2*****, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1740, 45, United-States, <=50K,
3*, Private, 1*****, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 80, ?, <=50K,
3*, Private, 1*****, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 4865, 0, 60, United-States, <=50K,
5*, Federal-gov, 3*****, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 2258, 40, United-States, <=50K,
2*, Private, 1*****, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K,
2*, Local-gov, *****, Assoc-acdm, 12, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K,
3*, Private, 1*****, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, England, <=50K,
3*, Private, 1*****, Some-college, 10, Divorced, Other-service, Other-relative, White, Male, 0, 0, 40, Nicaragua, <=50K,
3*, Private, 2*****, Assoc-acdm, 12, Divorced, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
3*, Private, *****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K,
2*, ?, 1*****, Bachelors, 13, Never-married, ?, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K,
4*, Private, 1*****, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K,
3*, Private, 1*****, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K,
4*, Federal-gov, 2*****, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, State-gov, 2*****, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K,
3*, Private, 2*****, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 1485, 40, United-States, >50K,
6*, Self-emp-not-inc, 1*****, Some-college, 10, Married-civ-spouse, Prof-specialty, Wife, White, Female, 20051, 0, 10, United-States, >50K,
3*, Private, 2*****, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K,
2*, Private, 3*****, 11th, 7, Married-civ-spouse, Sales, Own-child, Black, Male, 0, 0, 35, United-States, <=50K,
5*, Private, 1*****, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 38, United-States, <=50K,
4*, State-gov, 2*****, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, Private, *****, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K,
2*, Private, 1*****, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 1*****, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 16, United-States, <=50K,
2*, Self-emp-not-inc, 2*****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K,
5*, Private, 2*****, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K,
2*, ?, 1*****, HS-grad, 9, Never-married, ?, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K,
5*, Private, 1*****, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K,
2*, Private, 3*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1848, 42, United-States, >50K,
2*, Private, *****, Bachelors, 13, Married-spouse-absent, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
2*, Private, 1*****, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K,
5*, Private, 3*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K,
2*, Private, 2*****, Some-college, 10, Never-married, Sales, Unmarried, White, Male, 0, 0, 50, Mexico, <=50K,
2*, Private, 1*****, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
3*, Local-gov, 2*****, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, State-gov, 3*****, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Male, 8614, 0, 40, United-States, >50K,
3*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K,
2*, Private, 1*****, 12th, 8, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, Mexico, <=50K,
4*, Private, *****, HS-grad, 9, Divorced, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K,
2*, ?, 3*****, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 32, United-States, <=50K,
2*, Private, *****, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
4*, Local-gov, 1*****, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K,
6*, Private, 1*****, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
4*, Private, *****, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K,
3*, Private, *****, Bachelors, 13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female, 0, 0, 30, United-States, >50K,
3*, Private, 2*****, Some-college, 10, Divorced, Exec-managerial, Own-child, White, Male, 0, 0, 44, United-States, <=50K,
4*, Private, 3*****, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 46, United-States, <=50K,
3*, Private, 1*****, 11th, 7, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K,
6*, ?, *****, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K,
5*, Local-gov, 1*****, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, >50K,
3*, Local-gov, 1*****, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, >50K,
2*, Federal-gov, 1*****, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States, <=50K,
5*, Private, 1*****, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 38, United-States, <=50K,
2*, Self-emp-not-inc, 3*****, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K,
1*, Private, 1*****, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 45, United-States, <=50K,
4*, Private, 3*****, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K,
5*, Local-gov, 1*****, HS-grad, 9, Separated, Protective-serv, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K,
3*, Private, 1*****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K,
4*, Private, 2*****, Some-college, 10, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 60, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K,
2*, ?, 3*****, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 17, Honduras, <=50K,
3*, Private, *****, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K,
5*, Self-emp-inc, 2*****, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 38, United-States, >50K,
2*, Private, 3*****, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 36, United-States, <=50K,
3*, Federal-gov, 2*****, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K,
3*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 44, United-States, >50K,
4*, Private, *****, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K,
5*, Private, 1*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 47, United-States, >50K,
2*, ?, *****, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 36, United-States, <=50K,
4*, Private, 1*****, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1485, 40, United-States, >50K,
2*, Private, 1*****, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 16, Japan, <=50K,
5*, Local-gov, 1*****, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 46, United-States, <=50K,
5*, Private, 2*****, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K,
6*, Self-emp-not-inc, 1*****, Masters, 14, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 4, ?, <=50K,
4*, State-gov, 2*****, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K,
5*, Private, 1*****, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, Private, 3*****, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States, <=50K,
4*, Self-emp-inc, 1*****, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 55, United-States, >50K,
3*, Private, 1*****, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander, Male, 0, 0, 40, ?, <=50K,
1*, ?, 1*****, 12th, 8, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1887, 40, United-States, >50K,
2*, Private, 2*****, Some-college, 10, Married-spouse-absent, Craft-repair, Other-relative, Black, Female, 0, 0, 35, Dominican-Republic, <=50K,
5*, Local-gov, 1*****, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K,
6*, Private, 1*****, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5556, 0, 40, United-States, >50K,
3*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 60, United-States, >50K,
4*, Private, *****, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 1902, 35, United-States, >50K,
5*, Private, 1*****, HS-grad, 9, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K,
2*, Private, *****, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K,
2*, State-gov, 1*****, Some-college, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 10, United-States, <=50K,
3*, Private, *****, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1669, 55, United-States, <=50K,
4*, Local-gov, 1*****, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K,
6*, ?, 1*****, Doctorate, 16, Widowed, ?, Not-in-family, White, Female, 0, 0, 5, United-States, <=50K,
3*, Private, 1*****, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 53, United-States, <=50K,
2*, Private, 1*****, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
2*, Private, 1*****, HS-grad, 9, Never-married, Protective-serv, Own-child, Black, Male, 0, 0, 16, United-States, <=50K,
4*, Private, 1*****, 5th-6th, 3, Never-married, Priv-house-serv, Own-child, White, Female, 0, 0, 40, El-Salvador, <=50K,
2*, Private, 1*****, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 45, United-States, <=50K,
2*, ?, *****, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Female, 0, 0, 15, United-States, <=50K,
3*, Private, *****, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K,
4*, Local-gov, 1*****, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 38, Jamaica, >50K,
4*, State-gov, *****, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K,
2*, State-gov, 1*****, 11th, 7, Separated, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, India, <=50K,
4*, Local-gov, *****, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 60, United-States, <=50K,
3*, Private, 1*****, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
2*, Private, *****, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K,
4*, Private, 3*****, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 40, United-States, <=50K,
4*, Private, *****, HS-grad, 9, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K,
6*, Private, 1*****, Some-college, 10, Never-married, Priv-house-serv, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
4*, Federal-gov, 1*****, Some-college, 10, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, Puerto-Rico, <=50K,
4*, Private, *****, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 28, United-States, <=50K,
4*, Private, 1*****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K,
5*, Local-gov, 1*****, Masters, 14, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 38, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Widowed, Tech-support, Unmarried, White, Male, 0, 0, 40, United-States, <=50K,
5*, Local-gov, 2*****, Some-college, 10, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K,
3*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, Puerto-Rico, <=50K,
2*, Self-emp-not-inc, 2*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K,
5*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, State-gov, *****, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K,
2*, Private, *****, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 55, United-States, <=50K,
2*, Private, 2*****, 11th, 7, Never-married, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K,
3*, Private, *****, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K,
2*, ?, 3*****, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K,
4*, Private, 1*****, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 35, United-States, >50K,
6*, ?, 1*****, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K,
2*, Private, *****, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K,
3*, Self-emp-inc, 2*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K,
5*, Self-emp-inc, 1*****, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 65, United-States, >50K,
4*, Self-emp-not-inc, 1*****, 5th-6th, 3, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, Italy, >50K,
4*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K,
2*, Private, *****, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K,
1*, Private, 1*****, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 17, United-States, <=50K,
6*, ?, 1*****, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 55, United-States, <=50K,
2*, Private, 1*****, Some-college, 10, Never-married, Other-service, Own-child, Black, Female, 0, 0, 15, United-States, <=50K,
4*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 2*****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K,
3*, Self-emp-not-inc, 1*****, Assoc-voc, 11, Divorced, Sales, Unmarried, White, Male, 0, 0, 50, United-States, <=50K,
5*, Private, 1*****, 10th, 6, Separated, Priv-house-serv, Not-in-family, Black, Female, 0, 0, 30, United-States, <=50K,
3*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K,
3*, Private, 1*****, HS-grad, 9, Separated, Protective-serv, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
4*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K,
5*, Private, 2*****, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, <=50K,
2*, Private, 3*****, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K,
6*, Private, 1*****, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K,
3*, Private, 2*****, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K,
5*, Self-emp-not-inc, 1*****, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K,
3*, Private, 3*****, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, >50K,
3*, Private, 2*****, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K,
3*, Self-emp-not-inc, 2*****, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 75, United-States, <=50K,
6*, Self-emp-inc, *****, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 68, United-States, >50K,
4*, Private, 1*****, HS-grad, 9, Divorced, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K,
4*, Self-emp-not-inc, *****, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K,
2*, Private, 3*****, Bachelors, 13, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K,
2*, Private, *****, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K,
5*, Private, 1*****, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, >50K,
2*, Private, 3*****, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
3*, Private, 1*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K,
3*, Private, 1*****, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K,
4*, Private, 2*****, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K,
2*, Private, 1*****, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K,
5*, Private, 1*****, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K,
4*, Private, 3*****, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K,
6*, Private, *****, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 6767, 0, 60, United-States, <=50K,
2*, Federal-gov, 1*****, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, United-States, <=50K,
5*, Private, 2*****, Bachelors, 13, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K,
4*, Local-gov, *****, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 50, United-States, <=50K,
3*, Private, 1*****, HS-grad, 9, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 12, United-States, <=50K,
4*, Private, 2*****, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, 0, 0, 40, United-States, >50K,
4*, Private, 3*****, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K,
3*, Private, *****, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K,
3*, Self-emp-not-inc, 3*****, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 60, South, <=50K,
4*, Local-gov, *****, HS-grad, 9, Widowed, Protective-serv, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K,
3*, ?, 1*****, Some-college, 10, Divorced, ?, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K,
2*, Private, 1*****, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 42, United-States, <=50K,
4*, Private, *****, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K,
6*, ?, 1*****, 5th-6th, 3, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States, >50K,
6*, Self-emp-not-inc, 1*****, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 1055, 0, 40, United-States, <=50K,
3*, Private, 1*****, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, >50K,
2*, Private, 1*****, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K,
4*, Private, 1*****, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K,
3*, Private, 2*****, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K,
5*, Private, 2*****, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 37, Mexico, <=50K,
2*, Private, 2*****, 10th, 6, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K,
2*, ?, *****, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 8, United-States, <=50K,
2*, Private, 3*****, 7th-8th, 4, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, <=50K,
